"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"bqn3","DELISH & DELICIOUS","Pakistani","4.3","(100+)","Islamabad"
"ikma","Jamil Sweets - F-10","Desserts","4.5","(5000+)","Islamabad"
"tkxw","Quetta Tea 20","Pakistani","4.3","(100+)","Islamabad"
"yylx","The Duhnut","Desserts","4","(64)","Islamabad"
"s1lr","Toast'd Cafe and Bakery","Sandwiches","4.1","(500+)","Islamabad"
"l0fn","Coffeemistry","Healthy Food","4.6","(100+)","Islamabad"
"byy1","Bon Bon Serves","Chinese","3.7","(100+)","Islamabad"
"b65c","Ghar Ka Khaana","Pakistani","4","(500+)","Islamabad"
"pjdr","Gohar Kitchen","Pakistani","4.3","(1000+)","Islamabad"
"sulj","Foodie's Paradise","Pakistani","5","(24)","Islamabad"
"fdyh","Ruby's Kitchen","Pakistani","4.6","(500+)","Islamabad"
"tmwg","Amma Ka Dhabba","Pakistani","3.9","(100+)","Islamabad"
"bh3e","The Baker's Oven","Cakes & Bakery","1.8","(26)","Islamabad"
"k7h2","SASTA CHASKA","Pakistani","4.2","(100+)","Islamabad"
"y1xi","Noshi's Kitchen","Pakistani","4","(100+)","Islamabad"
"omwm","Karachi Chaman Biryani","Pakistani","4","(83)","Islamabad"
"qeu6","Khyber Shinwari & Arabian Cafe","Pakistani","2.6","(5)","Islamabad"
"lt6a","Xingxung","Chinese","4.1","(96)","Islamabad"
"blss","Karachi Student Biryani","Pakistani","4","(100+)","Islamabad"
"e80h","Shawarma Ladz- F-11","Fast Food","5","(2)","Islamabad"
"l18i","Urban Grill & Desserts","Desserts","4.2","(100+)","Islamabad"
"ic35","Peshawari Bawarchi Khaana","Pakistani","3.9","(100+)","Islamabad"
"grf8","Biryani Spot","Pakistani","4.1","(100+)","Islamabad"
"o9f8","Tiffin by Rustic","Pakistani","3.3","(100+)","Islamabad"
"s7pm","Nocciola","Desserts","4.4","(1000+)","Islamabad"
"ho3q","Chai O' Clock","Fast Food","3.7","(96)","Islamabad"
"h2eb","Caramel Wasla","Pakistani","3.9","(6)","Islamabad"
"itz8","Al Naseeb Biryani Center","Pakistani","3.8","(27)","Islamabad"
"njet","Special Lahori Nashta & Restaurant","Pakistani","4.2","(1000+)","Islamabad"
"snuf","Cafe Ibiza","Fast Food","4.2","(6)","Islamabad"
"i2v8","Chicken Broast","Fast Food","4.8","(10)","Islamabad"
"kw6y","Red Apple - F/11","Fast Food","3.9","(100+)","Islamabad"
"e2ru","Cocoa Palette F11","Cakes & Bakery","3.9","(25)","Islamabad"
"wvlc","Rotisserie Chicken House","Pakistani","5","(5)","Islamabad"
"mlri","L’espresso Cafe","Continental","3.6","(24)","Islamabad"
"pa1r","Burger Fix","Burgers","4.5","(67)","Islamabad"
"n5wd","Mantulings","20980 min","4.5","(100+)","Islamabad"
"n4jy","Ranchers - F 11","Burgers","4","(4000+)","Islamabad"
"bafm","Pizz-o-Grill - F11","Pasta","2.5","(93)","Islamabad"
"jcyy","Butterfry","Fast Food","4.3","(21)","Islamabad"
"t5ea","The Nutella Spot - F11","Desserts","4.2","(500+)","Islamabad"
"wzje","Mandarin Express","Chinese","4.5","(100+)","Islamabad"
"yi03","Grill Daddy","Pakistani","4.5","(500+)","Islamabad"
"jf9z","Beenay's","Beverages","3.6","(100+)","Islamabad"
"s9rd","Ha' pi'","Chinese","4.2","(3000+)","Islamabad"
"v3us","Mama's Food","Pakistani","4.3","(100+)","Islamabad"
"abgi","House of Cuisine","Fast Food","1.8","(29)","Islamabad"
"xlwy","Cajun Chicken","Fast Food","4","(29)","Islamabad"
"t1qn","Waseem Shanwari","Pakistani","4.2","(1000+)","Islamabad"
"fn3j","Namkein Restaurant","Pakistani","4","(100+)","Islamabad"
"gcp3","Hangover Cafe- E11","Pasta","3.8","(100+)","Islamabad"
"o2y7","SS BANNU BEEF PULAO & CHAPLI KABAB","Pakistani","3.7","(100+)","Islamabad"
"w8uv","Ping Pong","Chinese","4.1","(1000+)","Islamabad"
"v8zz","K's Cremerie","Desserts","3.9","(100+)","Islamabad"
"sqkm","Karachi Student Biryani & Murgh Pulao","Pakistani","3.6","(67)","Islamabad"
"bekc","Crumble F-11","Desserts","4.6","(100+)","Islamabad"
"pa1l","Sally's","Burgers","4.4","(2000+)","Islamabad"
"bfhy","Fast & Foodious","Fast Food","1","(1)","Islamabad"
"ftpo","Bait Al Sareed","Pakistani","3.8","(3)","Islamabad"
"fzxr","Boom Boom Nashta Point","Pakistani","4.3","(100+)","Islamabad"
"ppf0","Crunchy Foods","Pakistani","4.2","(500+)","Islamabad"
"hbuj","Mazzay Ka Khana","Pakistani","4.1","(1000+)","Islamabad"
"k308","Special Lahori Nashta & Paaye","Pakistani","3.8","(100+)","Islamabad"
"hb0h","breakfast corner","Pakistani","3.3","(100+)","Islamabad"
"ffoz","Juice Lane","Beverages","4.5","(1000+)","Islamabad"
"kc9x","Mardo icecream|cafe","Fast Food","4","(100+)","Islamabad"
"pxkt","The Cheese Art","Fast Food","4.2","(75)","Islamabad"
"cj01","Quetta Tea Point","Tea & Coffee","4.3","(3000+)","Islamabad"
"t4as","The Coffee Bean & Tea Leaf - F11 Markaz","Pasta","4.4","(2000+)","Islamabad"
"ytim","Abbasi Naan Center","Pakistani","4.3","(500+)","Islamabad"
"n0rj","Lebanese Food Garden","Fast Food","4.1","(2000+)","Islamabad"
"vulj","Pi Na Bu","Fast Food","4.3","(78)","Islamabad"
"iu5c","Durum Bar","Fast Food","4.4","(100+)","Islamabad"
"sjza","AURUM","Fast Food","3.9","(53)","Islamabad"
"n9xf","Xinhua Cuisine","Chinese","4.3","(1000+)","Islamabad"
"yr9u","Rustic F-11","Fast Food","4.8","(7)","Islamabad"
"k5bw","Toast'D Cafe & Bakery- F-11","Cakes & Bakery","4","(1000+)","Islamabad"
"xdxv","CHIKACHINO F-11","Pakistani","3.8","(100+)","Islamabad"
"i9zl","Urban Chef","Beverages","3.9","(100+)","Islamabad"
"vmgt","Tehmina Ka Kitchen","Pakistani","4","(100+)","Islamabad"
"k0xu","MFC- E-11","Fast Food","3.8","(1000+)","Islamabad"
"o0jp","Desi Beats BreakFast 24/7","Pakistani","3.5","(100+)","Islamabad"
"a4r9","Juice Court by Nazir Foods","Healthy Food","4.3","(100+)","Islamabad"
"t8ox","Manolo Gelato F-11","Desserts","4","(500+)","Islamabad"
"l4sv","SOHO - Pan Asian Cuisine","0 min","4.2","(100+)","Islamabad"
"pg2i","Desi Nashta","Pakistani","3.7","(100+)","Islamabad"
"a3ns","Al-Basrah Lounge","Pasta","4","(99)","Islamabad"
"g6hl","Black Lounge Cafe","Pasta","3.1","(61)","Islamabad"
"a3vu","Eat First Restaurant","Pakistani","3.8","(14)","Islamabad"
"w7hs","Desi Beats Cafe","Pakistani","4.1","(1000+)","Islamabad"
"s8fi","Sarang Sindhi Cuisine","Pakistani","4","(2000+)","Islamabad"
"v6ai","DESI HUB @ 15","Pakistani","4.7","(100+)","Islamabad"
"rgo1","Noor-ul-ain 1o1","Pakistani","4.5","(1000+)","Islamabad"
"j6dk","Slice Pizza Studio","Fast Food","4.3","(11)","Islamabad"
"w6rg","Arabic King Shawarma","Shawarma","3.9","(2000+)","Islamabad"
"bpz9","Right Diet","0 min","3","(37)","Islamabad"
"v6dw","Wild Wings F-11","Pasta","4.1","(2000+)","Islamabad"
"d5vl","PENG WINGS","Fast Food","4.3","(100+)","Islamabad"
"aeqt","Shah G Foods","Pakistani","4.2","(67)","Islamabad"
"u6tp","Bali's","Chinese","4","(500+)","Islamabad"
"rs90","MAATI","Pakistani","3.7","(100+)","Islamabad"
"lynd","California Pizza- E-11","Pasta","4.2","(1000+)","Islamabad"
"zq5i","Zerrys Cuisine","Pakistani","4.5","(500+)","Islamabad"
"aitk","Express Kitchen By SOHO","Continental","4","(100+)","Islamabad"
"u3ow","Second Cup Coffee Company - F11 Markaz","Pasta","4","(500+)","Islamabad"
"oryy","Mehman Mezban - F-11","Pakistani","5","(2)","Islamabad"
"u9gm","Deewan Pulao Biryani & Refreshment Center","Biryani","4","(1000+)","Islamabad"
"km6a","Munchies - E-11","Fast Food","4.3","(29)","Islamabad"
"gst9","Pakistan Cafe","Pakistani","3.4","(6)","Islamabad"
"og93","Abbasi Murgh Pulao & Sindhi Biryani House","Pakistani","3.9","(56)","Islamabad"
"egpw","Lalain's Cuisine 101","Pakistani","4.3","(1000+)","Islamabad"
"qkq5","Lahori Chaska Naan Centre and Peshawari Chapali Kabab","Pakistani","4.1","(85)","Islamabad"
"z80e","Mehr Yaa Naseer Yaa","Fast Food","2","(1)","Islamabad"
"x1tb","Totally Healthy","Pakistani","4.4","(500+)","Islamabad"
"m285","CENTRAL","Continental","4.2","(100+)","Islamabad"
"k6v0","New Variety Naan Center","Pakistani","4.2","(50)","Islamabad"
"q9tm","Angara Restaurant Bar B.Q And Fast Food","0 min","3.8","(100+)","Islamabad"
"x8gv","Juice Point","Healthy Food","4.5","(100+)","Islamabad"
"tpgz","Motiwala Food Co.","Pakistani","4.2","(100+)","Islamabad"
"ap0x","Kashghar Foods","Chinese","3.8","(2)","Islamabad"
"fbaz","Karachi Spicy Roll","BBQ","4.5","(8)","Islamabad"
"j895","Saada Khana","Pakistani","3.4","(52)","Islamabad"
"or0v","Karachi Bar B. Q and Refreshment","Pakistani","4.8","(18)","Islamabad"
"bci9","D City Kabana","Pasta","3","(78)","Islamabad"
"yefs","MM Kitchen","Pakistani","3.7","(70)","Islamabad"
"pfup","Sugar Adora Cafe","Pasta","1.7","(7)","Islamabad"
"p6sb","Lahori Chaska Ziaqa Restaurant & Biryani Center","0 min","4.2","(2000+)","Islamabad"
"bn60","Homie Foods","Pakistani","4.7","(100+)","Islamabad"
"v6om","Karachi Bar B Q","Pakistani","4.5","(2000+)","Islamabad"
"b6rb","Lahori Chaska Refreshment & Plao Kabab","0 min","4.2","(100+)","Islamabad"
"w0fg","Desi Fusion","Pakistani","4.3","(2000+)","Islamabad"
"bxku","Pizzaology","Pakistani","2.1","(18)","Islamabad"
"x9kc","Tokyo treats","Savouries","3.6","(62)","Islamabad"
"xiqw","Buns","Burgers","4.1","(100+)","Islamabad"
"s436","Home Cuisine","Pakistani","4.5","(500+)","Islamabad"
"exi3","Classic Cuisine","Pakistani","3.8","(500+)","Islamabad"
"c7kk","The Tasty Plate","Pakistani","4.4","(100+)","Islamabad"
"xz00","Turath","Middle Eastern","4.9","(25)","Islamabad"
"v77b","Karachi Al Naseeb Biryani & Pulao Centre","Pakistani","3.5","(11)","Islamabad"
"qse1","Yummy Tummy","Fast Food","2.1","(41)","Islamabad"
"qb6n","Shifus Pizza","Pizza","3.8","(100+)","Islamabad"
"eke0","Starbae","Pakistani","4.4","(500+)","Islamabad"
"n7dh","Niwaala","Pakistani","3.3","(100+)","Islamabad"
"rnj8","Mithaas Baked with Love","Desserts","4.7","(100+)","Islamabad"
"dsp1","Variety Naan Center","Pakistani","4.4","(1000+)","Islamabad"
"kybg","Kitchen King","Pakistani","4.2","(68)","Islamabad"
"vr0g","Red Flag","Fast Food","3.6","(12)","Islamabad"
"lzzc","Quetta Tiffin","Pakistani","4.1","(95)","Islamabad"
"zgqb","The Khatri's Biryani (By Ayesha Appa)","Pakistani","3.4","(26)","Islamabad"
"c2tj","Karachi Al Naseeb Biryani","Pakistani","2.4","(4)","Islamabad"
"s0eg","Round House Pizza","Pizza","4.3","(5000+)","Islamabad"
"ep4n","PULAO SHULAO","Pakistani","3.6","(2)","Islamabad"
"bewv","New Karachi Dilbahar Biryani","Pakistani","3.8","(100+)","Islamabad"
"n1xt","Boom Boom Islamabad Hot & Spicy G11","Fast Food","3.9","(3000+)","Islamabad"
"u2ec","Dhanyal Foods","Pakistani","4.5","(100+)","Islamabad"
"mhpx","Balkh Restaurant","Fast Food","3.2","(100+)","Islamabad"
"uon8","Ma G's Desi cuisine)","Pakistani","4","(100+)","Islamabad"
"f2zf","Jahangir Balti & Bar-B-Q","Pakistani","4.1","(19)","Islamabad"
"ahbp","Flavour Heaven","Fast Food","4.1","(100+)","Islamabad"
"hlza","Cheeku's Desi Food","Pakistani","4.1","(100+)","Islamabad"
"ilnu","Shehnaz Shehzad Kitchen","Pakistani","4.1","(100+)","Islamabad"
"b497","Desi Kitchen","Pakistani","3.5","(500+)","Islamabad"
"ssa8","Lazeez Khana","Pakistani","3.9","(100+)","Islamabad"
"iwmt","Tokyo Sushi Station- G-11","Fine Dining","4","(96)","Islamabad"
"fmyg","Smoky Bites","Fast Food","4.7","(35)","Islamabad"
"u3ez","Vintage BAR B Q","Pakistani","3.8","(1000+)","Islamabad"
"byi4","DoughJo Bakery & Patisserie","Cakes & Bakery","4.2","(100+)","Islamabad"
"gjq0","Chaawal Ghar Restaurant & BBQ","Pakistani","4.5","(5)","Islamabad"
"rhsc","Brothers Afghani Naan G-11","Pakistani","4.3","(1000+)","Islamabad"
"aykn","Yad Gar Dahi Ballay  & Samosa Center","Pakistani","4.4","(100+)","Islamabad"
"e5o8","DESI ADDICT","Pakistani","3.4","(100+)","Islamabad"
"vo9o","Quetta T & T - G-11","Pakistani","4","(500+)","Islamabad"
"ifm9","Lahori Murgh Pulao & Restaurant","Pakistani","2.3","(10)","Islamabad"
"h9jb","Tempting Treats","Desserts","4.7","(94)","Islamabad"
"cdcy","TMN KITCHEN","Pakistani","4.6","(100+)","Islamabad"
"t4ds","Vintage BBQ","Pakistani","3.6","(100+)","Islamabad"
"hptv","SS Foods","Pakistani","4.1","(99)","Islamabad"
"n5bd","Shah G Boom Boom G11","Pakistani","3.8","(500+)","Islamabad"
"yq8d","Lubna's Kitchen","Pakistani","3.9","(1000+)","Islamabad"
"w1xi","Reliable Cuisine","Pakistani","4.6","(500+)","Islamabad"
"i5uv","NAYAB BBQ","Pakistani","2.6","(3)","Islamabad"
"euq3","Sizzle Wok","Chinese","4.3","(22)","Islamabad"
"hnjr","BURGER CLUB","Fast Food","4.3","(31)","Islamabad"
"n5bg","Kulcha ت Kebab","Pakistani","3.7","(500+)","Islamabad"
