"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"vm2l","Good Mood Food","Fast Food","3.6","(100+)","Karachi"
"e21p","Papas Zingeria","Fast Food","3.6","(100+)","Karachi"
"r2tg","Food Train","Pakistani","4.3","(44)","Karachi"
"e7tr","Mrs Minhaj in the kitchen","Pakistani","4","(55)","Karachi"
"a29w","Amma's Food","Pakistani","4.6","(89)","Karachi"
"mk1s","Eat Dessert First","Cakes & Bakery","5","(3)","Karachi"
"dddx","Karachi Food","Pakistani","3.3","(98)","Karachi"
"dnia","Eat Oye!","Fast Food","3.7","(16)","Karachi"
"bkeu","Burning Capsicum","Chinese","3.5","(100+)","Karachi"
"j327","Sawaira Halwa Puri","Pakistani","4.3","(2000+)","Karachi"
"i0ye","Alia's kitchen","Pakistani","4.2","(2000+)","Karachi"
"ea78","Fatima's Kitchen","Continental","5","(1)","Karachi"
"pjhr","Craving Corner","Fast Food","3.6","(42)","Karachi"
"mmz7","Dehli sweets baker nimko","Pakistani","4.4","(500+)","Karachi"
"rqh6","Spice of Karachi by Sana","Pakistani","3.8","(100+)","Karachi"
"aaeq","Abe Suleh Kheer House","Desserts","4.4","(100+)","Karachi"
"k8vb","Al Hamra Sweets","Cakes & Bakery","4.1","(500+)","Karachi"
"ok9t","Taste Of Karachi","Fast Food","3.7","(100+)","Karachi"
"fw2s","Just EET (Homechef)","Chinese","3.4","(100+)","Karachi"
"w5yw","Hayat e sheereen","Pakistani","3.8","(500+)","Karachi"
"on66","HNM Kitchen","Pakistani","4.3","(100+)","Karachi"
"uhul","Rabi's cooking and baking","Pasta","4.3","(100+)","Karachi"
"i1j0","Sindhi Hotel","Pakistani","5","(41)","Karachi"
"vxzd","Ghousia Bakery & Nimco - غوثیہ بیکری","Cakes & Bakery","5","(3)","Karachi"
"ppcn","Sajjad Bakery & Nimco","Burgers","4.3","(1000+)","Karachi"
"att4","Mashallah Milk and Juice Center","Ice Cream","3.9","(100+)","Karachi"
"rqju","Haneen's kitchen","Pakistani","4.3","(75)","Karachi"
"xexm","Zaiqa Food","Fast Food","2","(41)","Karachi"
"w38s","Dua Foods","Pakistani","4","(100+)","Karachi"
"poia","Mamaorama","Casual","3.4","(500+)","Karachi"
"pj3k","Hina Foods","Pakistani","4","(85)","Karachi"
"cf5k","Momos with Aliza","Chinese","3.1","(100+)","Karachi"
"n1qh","Homemade Hygienic Food by Mona","Pakistani","3.7","(6)","Karachi"
"clq8","Salman Foods","Paratha","3.7","(100+)","Karachi"
"e16n","Al Quresh Juice Centre","Pakistani","4","(61)","Karachi"
"a4k9","Chic N Be","Pakistani","3.2","(100+)","Karachi"
"p1nf","Top Spice","Pakistani","4.4","(1000+)","Karachi"
"gksc","Malik's Pakwan","Biryani","2.4","(100+)","Karachi"
"ojxy","Kohi Coffees - KDA","Desserts","4.3","(88)","Karachi"
"h89l","Zee's Kitchen","Pakistani","1","(2)","Karachi"
"q6at","FOW - Food On Wheels","Pakistani","4.1","(500+)","Karachi"
"ad7z","United King - University Road","Cakes & Bakery","4.5","(4000+)","Karachi"
"ehfr","HEAVY SPICE","Pakistani","4.2","(100+)","Karachi"
"s290","Food Bites","Fast Food","4.8","(4)","Karachi"
"vye5","Al Barakha Delhi Zaiqa BBQ & Pizza","Pizza","4.2","(51)","Karachi"
"w2b7","Star Haleem","Pakistani","3.9","(3)","Karachi"
"tlld","Sisters Kitchen","Pakistani","4.9","(61)","Karachi"
"nqiz","Spice it Up","Pakistani","3.6","(100+)","Karachi"
"cglq","Nice Foods","Fast Food","4.3","(100+)","Karachi"
"egtx","Yummy with Mummy","Chinese","2.3","(17)","Karachi"
"n7tc","Crispy Point","Burgers","3.8","(2000+)","Karachi"
"qbes","Sufra By Shazia","Pakistani","4.3","(73)","Karachi"
"v3tt","Burger 99","Fast Food","3.6","(3000+)","Karachi"
"fbow","Eatly Karachi","Chinese","4.2","(100+)","Karachi"
"hocy","Al-Hamd Burger","Fast Food","4.7","(27)","Karachi"
"br8f","DAMN! Burgers - NK","American","2.7","(100+)","Karachi"
"abw5","Asma's Kitchen","Pakistani","4.3","(47)","Karachi"
"xney","AA-2 Food Center","BBQ","3.6","(100+)","Karachi"
"zet7","Jamil Haleem House","Pakistani","4","(100+)","Karachi"
"gnx7","Al Macca Super Burger","Fast Food","4.2","(78)","Karachi"
"oq45","Home Kitchen","Pakistani","4.4","(500+)","Karachi"
"v7zg","Faazu Paya Chanay","Pakistani","3.5","(2000+)","Karachi"
"wzwc","Chill & Grill","Pasta","3.9","(25)","Karachi"
"w7ye","Delicor Ice Cream, Kulfi & Falooda - North","Ice Cream","4.1","(500+)","Karachi"
"k0fk","Al Asif BBQ Fast Food & Sheermal House","Fast Food","4.2","(84)","Karachi"
"n7kp","Big Bite Fast Food & BBQ","Fast Food","3.7","(100+)","Karachi"
"gl9b","Crems Chocolates","Desserts","5","(2)","Karachi"
"bx93","Al Riaz Restaurant & Fast Food","Fast Food","4.4","(100+)","Karachi"
"jig6","Makkah Pizza","Pizza","3.5","(51)","Karachi"
"x7me","Mom's Foods","Pakistani","3.9","(62)","Karachi"
"b9ax","The Burger Rack","Pasta","3.3","(71)","Karachi"
"ubn3","Aiza & Ayan kitchen","Pakistani","4","(1000+)","Karachi"
"xeve","DINNER 2 GETHER","Pakistani","4","(38)","Karachi"
"bbnq","Crispy Planet -  NK","American","3.2","(100+)","Karachi"
"g7b3","King's FastFood","Fast Food","3.5","(51)","Karachi"
"v6hn","Umme Hani Hi Tea","Pakistani","4.5","(4000+)","Karachi"
"p18y","Delhi Masala House","Pakistani","3.5","(1000+)","Karachi"
"n1tt","Lahori data kitchen","Biryani","3.4","(3000+)","Karachi"
"jnr0","Ayyan food point","Pakistani","3","(44)","Karachi"
"smzc","Hasnain Pakwan Centre","Pakistani","4.1","(500+)","Karachi"
"h8z1","AA2 Food Center","Pakistani","4.1","(500+)","Karachi"
"wlvp","Sarah's Cuisine","Pakistani","4.2","(34)","Karachi"
"v6yh","Biryani Palace","Fast Food","4.2","(1000+)","Karachi"
"n7bd","7 Dianz","Fast Food","3.6","(1000+)","Karachi"
"vj7o","Pizza Arbish","Pizza","3.7","(100)","Karachi"
"w5ap","Qureshi Payee","Pakistani","4.2","(1000+)","Karachi"
"uirh","Food Valley (Homechef)","Chinese","3.3","(100+)","Karachi"
"j4hj","Daata kitchen","Pakistani","4.1","(1000+)","Karachi"
"j722","KARACHI DESI FOODS","Pakistani","3.8","(100+)","Karachi"
"d92p","Ali Brunch Point ABP","Pakistani","4.1","(100+)","Karachi"
"g1vv","ALLAH WALA SHEERMAL HOUSE","Pakistani","4.3","(3000+)","Karachi"
